country,continent,regionUN,subregionUN,year_stunting_current,prev_stunting_current,number_stunting_current,year_wasting,prev_wasting,number_wasting,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_u5overweight,prev_u5overweight,number_u5overweight,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,,,,,,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,wasting_progress,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Afghanistan,Asia,Asia,Southern Asia,2013,41,2006,2013,10,466,2013,0,4,2013,5,265,,,,,,,2013,41,2004,59,1997,53,,,,,,,,,,,,2014,13,19,16,2,4,3,2011,33,2339,2013,47,,.,2008,9,9,10,2008,39,39,38,2008,22,21,23,4,4,On course - Good progress,-1.799999952,0,On course - At risk,off course,2011,Currently off course
Albania,Europe,Europe,Southern Europe,2009,23,46,2009,9,19,2009,0,5.900000095,2009,23,46,,,,,2009,23,2005,27,2000,39,1997,20,,,,,,,,,2008,0.1,1.7,2014,58,48,53,17,19,18,2011,22,185,,,,,2008,10,10,9,2008,45,48,42,2008,45,46,44,6,4,On course - Good progress,2.75,7.3,Off course - Some progress,off course,2011,Currently off course
Algeria,Africa,Africa,Northern Africa,2012,12,523,2012,4,183,2012,0,1.399999976,2012,12,554,2006,6,2012,12,2005,16,2002,23,2000,24,1995,23,,,,,,2011,13.7,3.2,,,,2014,56,63,59,19,31,25,2011,33,3399,2013,11,1994,Moderate iodine deficiency,2008,9,9,9,2008,44,44,43,2008,39,37,41,6,3,On course - Good progress,1.519999981,4.3,Off course - Some progress,on course,2011,Currently off course
Andorra,Europe,Europe,Southern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,72,62,67,29,31,30,2011,17,4,,,,,2008,9,10,7,2008,37,43,31,2008,67,70,61,,,,,,,.,2011,Currently off course
Angola,Africa,Africa,Middle Africa,2007,29,1024,2007,8,287,2007,0,4.300000191,,,,2000,12,,,,,,,2007,29,1996,62,,,,,,,,,,,,2014,24,38,31,6,14,10,2011,45,2007,2013,45,,,2008,9,8,9,2008,46,48,43,2008,31,30,32,,6,,,,,off course,2011,Currently off course
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,6,,,,,,,,,,,,,,,,,,,,,,2014,55,68,62,23,39,31,2011,25,6,2013,4,,,2008,12,11,12,2008,42,47,38,2008,43,40,45,,,,,,,,2011,Currently off course
Argentina,Americas,Latin America and the Caribbean,South America,2005,8,272,2005,1,40,2005,0,0.200000003,2005,10,329,2011,7.2,,,,,2005,8,1996,17,1994,7,,,,,,2012,28.6,5.9,,,,2014,64,60,62,24,29,26,2011,16,1607,2013,11,,,2008,11,11,10,2008,35,42,29,2008,51,51,50,,4,,,1.7,,on course,2011,Currently off course
Armenia,Asia,Asia,Western Asia,2010,21,45,2010,4,9,2010,0,2,2010,17,36,2010,8,,,2010,21,2005,18,2000,18,1998,15,,,,,,,,,2005,0.5,6.4,2014,56,55,56,17,22,20,2011,26,220,2013,11,1998,Optimal iodine nutrition,2008,12,12,12,2008,48,50,46,2008,41,40,42,-2,2,Off course - No progress,-0.49000001,5.7,Off course - No progress,on course,2011,Currently off course
Australia,Oceania,Oceania,Australia and New Zealand,2007,2,27,2007,0,0,2007,0,0,2007,8,104,2010,6.2,,,,,,,2007,2,1995,0,,,,,,,,,,,,2014,70,58,64,28,29,29,2011,18,962,,,2000,Mild iodine deficiency,2008,8,10,7,2008,32,37,26,2008,55,55,55,,5,,,0.5,,on course,2011,Currently off course
Austria,Europe,Europe,Western Europe,,,,,,,,,,,,,2011,6.9,,,,,,,,,,,,,,,,,,,,,,2014,61,45,53,21,16,18,2011,19,375,,,1994,Optimal iodine nutrition,2008,6,7,5,2008,38,43,33,2008,60,61,58,,,,,,,,2011,Currently off course
Azerbaijan,Asia,Asia,Western Asia,2013,18,142,2013,3,24,2013,0,1.100000024,2013,13,102,2006,10,2013,18,2006,27,2001,18,2000,24,1996,28,,,,,,,,,2006,0.5,4.2,2014,57,59,58,19,26,23,2011,33,893,2013,9,2001,Mild iodine deficiency,2008,12,12,12,2008,43,46,41,2008,35,33,36,6,4,On course - Good progress,0.949999988,5,Off course - Some progress,on course,2011,Currently off course
Bahamas,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,11.6,,,,,,,,,,,,,,,,2013,44.7,21,,,,2014,66,72,69,30,43,36,2011,23,23,2013,7,.,,2008,13,13,14,2008,41,47,36,2008,52,49,54,,,,,,,,2011,Currently off course
Bahrain,Asia,Asia,Western Asia,,,,,,,,,,,,,2012,9.9,,,,,,,1995,14,1989,14,,,,,,,,,,,,2014,70,74,72,31,43,35,2011,38,115,2013,7,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,13,14,12,2008,44,44,43,2008,53,53,54,,,,,,,,2011,Currently off course
Bangladesh,Asia,Asia,Southern Asia,2014,36,5484,2014,14,2172,2014,0,3.099999905,2014,1,213,2006,22,2014,36,2013,39,2012,42,2011,41,2007,43,,,,,,,,,2011,12.9,27.5,2014,15,21,18,2,5,4,2011,44,18183,2013,30,1993,Mild iodine deficiency,2008,10,9,10,2008,39,39,38,2008,26,25,26,7,3,On course - Good progress,6.460000038,0,On course - Good progress,off course,2011,Currently off course
Barbados,Americas,Latin America and the Caribbean,Caribbean,2012,8,1,2012,7,1,2012,0,2,2012,12,2,2011,11.5,,,,,,,,,2012,8,,,,,,2011,31.9,14.2,,,,2014,57,67,62,24,38,31,2011,23,16,2013,5,,,2008,14,13,15,2008,42,45,39,2008,43,40,45,,4,,,4.2,,off course,2011,Currently off course
Belarus,Europe,Europe,Eastern Europe,2005,5,20,2005,2,10,2005,0,0.600000024,2005,10,43,2011,5.1,,,,,,,,,2005,5,,,,,,,,,,,,2014,61,55,58,21,26,23,2011,22,557,,,1995-98,Moderate iodine deficiency,2008,10,10,10,2008,47,51,42,2008,51,51,51,,4,,,1.6,,on course,2011,Currently off course
Belgium,Europe,Europe,Western Europe,,,,,,,,,,,,,2009,7,,,,,,,,,,,,,,,,,,,,,,2014,66,48,57,22,18,20,2011,18,439,,,1998,Mild iodine deficiency,2008,8,9,6,2008,35,39,30,2008,62,65,60,,,,,,,,2011,Currently off course
Belize,Americas,Latin America and the Caribbean,Central America,2011,19,7,2011,3,1,2011,0,1.200000048,2011,8,3,2011,11.1,,,,,2011,19,2006,22,1992,,,,,,,2011,35.8,12.5,,,,2014,49,59,54,16,29,23,2011,22,19,2013,3,1994-95,Optimal iodine nutrition,2008,11,9,13,2008,37,41,33,2008,34,31,37,3,4,Off course - Some progress,10.43000031,0.9,Off course - Some progress,on course,2011,Currently off course
